Gravité;Fichier;Ligne;Enregistrement;Champ;Anomalie;Valeur lue;Valeur retenue;Valeur remplacée
Non repris;export_clients_cavegest.xlsx;79;Client T00078;;Ni raison sociale, ni nom, ni prénom;;;
Non repris;export_clients_cavegest.xlsx;102;Client T00101;reference;Référence présente sur plusieurs lignes identiques;T00101;;
Non repris;export_clients_cavegest.xlsx;103;Client T00101;reference;Référence présente sur plusieurs lignes identiques;T00101;;
Non repris;export_clients_cavegest.xlsx;1502;Client T01501;reference;Référence présente sur plusieurs lignes identiques;T01501;;
Non repris;export_clients_cavegest.xlsx;1503;Client T01501;reference;Référence présente sur plusieurs lignes identiques;T01501;;
Non repris;export_clients_cavegest.xlsx;1804;Client T01803;;Ni raison sociale, ni nom, ni prénom;;;
Non repris;export_clients_cavegest.xlsx;3212;Client T03211;reference;Référence présente sur plusieurs lignes identiques;T03211;;
Non repris;export_clients_cavegest.xlsx;3213;Client T03211;reference;Référence présente sur plusieurs lignes identiques;T03211;;
Non repris;export_clients_cavegest.xlsx;4001;Client T04000;;Ni raison sociale, ni nom, ni prénom;;;
Repris avec correction automatique;export_clients_cavegest.xlsx;2;Client T00001;kind;Revendeur repris comme client;R;customer;
Repris avec correction automatique;export_clients_cavegest.xlsx;3;Client T00002;country_code;Pays absent, pays par défaut appliqué;;FR;
Repris avec correction automatique;export_clients_cavegest.xlsx;3;Client T00002;phone;Téléphone complété d'un zéro initial (perdu par le tableur);222415817;+33222415817;
Repris avec correction automatique;export_clients_cavegest.xlsx;3;Client T00002;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);628982171;+33628982171;
Repris avec correction automatique;export_clients_cavegest.xlsx;4;Client T00003;phone;Téléphone complété d'un zéro initial (perdu par le tableur);146538614;+33146538614;
Repris avec correction automatique;export_clients_cavegest.xlsx;4;Client T00003;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);625727983;+33625727983;
Repris avec correction automatique;export_clients_cavegest.xlsx;5;Client T00004;phone;Téléphone complété d'un zéro initial (perdu par le tableur);475572849;+33475572849;
Repris avec correction automatique;export_clients_cavegest.xlsx;6;Client T00005;zip;Code postal complété d'un zéro initial (perdu par le tableur);4000;04000;
Repris avec correction automatique;export_clients_cavegest.xlsx;7;Client T00006;phone;Téléphone complété d'un zéro initial (perdu par le tableur);191971173;+33191971173;
Repris avec correction automatique;export_clients_cavegest.xlsx;8;Client T00007;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);656927050;+33656927050;
Repris avec correction automatique;export_clients_cavegest.xlsx;9;Client T00008;mobile;Téléphone complété d'un zéro initial (perdu par le tableur);673847284;+33673847284;
Repris avec correction automatique;export_clients_cavegest.xlsx;9;Client T00008;kind;Revendeur repris comme client;R;customer;
